id,artist_name,lyrics,track_name,genre,release_date
98861,"Hank Williams, Jr.",Well when the show s over me and the boys get together We like to get in the back of the bus and play music Just like this here When I look in your face baby when I look in your eyes I can tell pretty momma I ve been wasting my time Cause you don t really love me You just want me for what I am But you best treat me right woman You just might lose your money man Well when I first met you babe you was a red light girl But I tried to take you to a better world Cause you would not listen Still you think I am a fool Well you had it made in the shade sugar Don t let that tree fall down on you Well I work for the railroad each and every day Well I work real hard tryin  to make my pay Lord I never tell you What you supposed to do Well you had it made in the shade baby Don t let that tree fall down on you Well you had it made in the shade sugar Don t let that tree fall down on you,Made in the Shade,metal,1997
45956,Tiga,Silkk    Mercedes  talkin   You ain t da one talkin  all da mess right  who me   Ya girl  ain t said notin   Well you been saying something  you want to know   Mercedes verse   singing   I  I like your style  And I can see the freak in you  We could hook up around    So I could put this thang on you  Don t know  just what you got yourself into  With me  I ll fufill all of your fantasies  Silkk The Shocker Mercedes  rapping   Shorty you got what I need right  I ma see if you one of a kind  Heard ya all the time went from  One and dropped to nine like shit  fuck  it ain t gonna never stop   Dazed and tossed  my leg is long  I want you alone  after da date takin  ya home  Take the phone off da hook  cause I m off da hook  nigga what what what   Mercedes Hook   I  I got what you need  iiiiiii   got what you need   Get me over here  get over here   come and see me   So you can see  Just how I am between the sheets  If you got da time  I ll fufill your fantasies  Silkk The Shocker rapping   What you want to do I ll do cause I m bout it bout it  That means that I m wit it wit it  But you gonna find out right after I hit it  hit it  You get crunk and shit after I get it  get it  Then you can tell every one  That you and silkk did it  did it  It don t take much to fuck  fuck  Hook a nigga up  shit  don t screw a nigga up  Have you ever fucked wit a thug  thug  Back rubs  and bath tubs  Feel it going down when I  Find da place to touch  touch  Have you ever fucked with a solider  Fantasies fufilled when I come over  We can do it on the hood of the range rover  If it s not anough  more more  to much  yes yes  If it s bad yell no no  good yell yes yes  Hook  Mercedes sillk the shocker  everything you need baby   Everything you need lady  make me fein to cream drop to my knees baby   What you want to do baby  it s all on you baby   Fantasies fufilled  Really  it could happen to you baby   Hook till fade,What You Need,metal,2014
126735,Death Cab for Cutie,This is the moment that you know That you told you loved her but you don t You touch her skin and then you think That she is beautiful but she don t mean a thing to me Yeah  she is beautiful  but she don t mean a thing to me I spent two weeks in Silverlake The California sun cascading down my face There was a girl with light brown streaks And she was beautiful but she didn t mean a thing to me Yeah  she was beautiful  but she didn t mean a thing to me Wanted to believe in all the words that I was speaking As we moved together in the dark And all the friends that I was telling And all the playful misspellings And every bite I gave you left a mark Tiny vessels oozed into your neck And formed the bruises That you said you didn t want to fade But they did and so did I that day All I see are dark grey clouds In the distance moving closer with every hour So when you ask  Was something wrong That I think  You re damn right there is but we can t talk about it now No  we can t talk about it now So one last touch and then you ll go And we ll pretend that it meant something so much more But it was vile  and it was cheap And you are beautiful  but you don t mean a thing to me Yeah  you are beautiful  but you don t mean a thing to me Yeah  you are beautiful  but you don t mean a thing to me,Tiny Vessels,metal,1998
108998,Huey,Huey Hello No I ll be there in the minute But I got something to do What   Look you should know there s one main thing you re next Chorus  Lloyd When I hustle  baby I be thinking of you I m always on the grind don t spend a lot of time like we used to do Now be out on these streets  cause you know we got to eat and you know that s the truth Now no matter my hustle  I m coming home to you Shorty I m coming home to you Huey Yeah I m a hustler yeah  but baby girl I wanna fuck with you You the type to make the thug nigga turn lub a dub Mommy let me tell you I ain t nothing like these other scrubs H u e y  cowboy he fly  got money to the hiz eye Thats why I fly geez eye If any brother tell u he do you better he lie No I ain t Nelly but could make you holler E I When you f u c k i n g in the treetop Bet you will see it s best then ever when we ride Count you a summer wardrobe come spring time The more that we around gratify me love you but you should now there s one main thing and that s Chorus Huey Baby girl you be my queen The only thing that make a thug smile in his dreams And make me feel that I ain t as thug as I seem When we make love  have me weak at the knees The only female that could do what she please But say it ain t tricking when I m giving her g s Car weather I m hurt or I m safe in the streets I ll tell you mommy don t worry I m safe with the heat Now come a little closer move your waist to the beat In the winter on the carpet for heat When you sleep There s no other couple that s fucking with we The more I m around gratify me to love you There s one thing to know your next Chorus Lloyd I ve been all around the world before  but I know your the one for me Just stay good you ll see I don t want to have to run these streets no more For now girl its ride or die Baby I m a get you right Chorus Huey See I told you everything was going to be aight in here We got to grind  we go to eat That way I can take you on shopping sprees and all that good stuff Uh You understand what I m saying right Stand by your boys side Together  me and you can ride It s when I hustle  lets go,When I Hustle,metal,2009
62487,Sarah Partridge,In the evening when the cattle s  Incomprehensible An old familiar feeling settles over me And it s your face I see and I believe that you are there In the garden when I stop to touch a rose And feel the petal soft and sweet against my nose I smile and I suppose that somehow maybe you are there When I m dreaming and I find myself awake Without a warning and I rub my eyes and fantasize And all at once I realize it s morning And my fantasy is fading like a distant star of dawn My dearest dream is gone I often think there s just one thing to do Pretend the dream is true and tell myself that you are there,You Are There,metal,2007
43721,Black Mountain,Come on  lay your halo down Well  angels  lay your arms around Oh every city s seen the setting sun Call  em kicks  you know they just begun So come on  lay your halo down Oh  lady lady  don t let your worry please Well you got something and that ain t nothing to just let be So why you kicking all those storms around And keeping fake down in the underground Oh come on  lay your halo down So why you kicking all the rollies round And keeping fake down in the underground We won t call curtain still we know that you have found Come on  lay your halo down Angels  lay your arms around Oh every city s seen the setting sun Call em kicks  you know they ve just begun Come on  lay your halo down,Angels,metal,1990
59695,Meat Puppets,Mother master  some things must be Plastic master  this is for free You give off a dark Seems larger than life Violet eyes Plastic master  smoke drifts from a rose Timber empire  able to explode Cut open the box Out rushes the night Violet eyes Plastic baby Rope drifts through open holes Robot Kingdom  fables will explode Cut open the box Out rushes the night Violet eyes,Violet Eyes,metal,2006
37714,The Corrs,ANDREA   Strawberries  cherries and an angel s kiss in spring  My summer wine is really made from all these things  BONO   I walked in town on silver spurs that jingled to  And sang song that I had only sang to just a few  She saw my silver spurs and said  Let s pass some time  And I will give to you summer wine  BOTH   Oh oh summer wine  ANDREA   Strawberries  cherries and an angel s kiss in spring  My summer wine is really made from all these things  Take off your silver spurs and help me pass the time  And I will give to you summer wine  BOTH   Oh oh summer wine  BONO   My eyes grew heavy and my lips they could not speak  I tried to get up  but I couldn t find my feet  She reassured me with an unfamiliar line  And then she gave to me more summer wine  BOTH   Oh oh summer wine  ANDREA   Strawberries  cherries and an angel s kiss in spring  My summer wine is really made from all these things  Take off your silver spurs and help me pass the time  And I will give to you summer wine  BOTH   Oh oh summer wine  When we woke up the sun was shining in our eyes  Our silver spurs were gone my head felt twice its size  Who took the silver spurs  a dollar and a dime  And left us cravin  for more summer wine  Oh oh summer wine  Oh oh Oh oh Oh oh Oh oh,Summer Wine,metal,2002
141212,John Mellencamp,I ve ridden down the sunset Drank expensive wine I ve been married two dozen times Raised ten children on a workman s pay And I m glad to say I ve enjoyed every day Of the full catastrophe of life I ve sat in courtrooms Had people call me names I ve been to London town On a supersonic plane I was lovin  your wife While you were lovin  mine And I m glad to say I ve enjoyed every day Of the full catastrophe of life I ve opened my belt to trouble everyday Ain t looking for a fight But you know I won t run away From the full catastrophe of life I ve seen the goodness I ve known the baddest around I was tattooed when it first came out I shook the hand that showed Moses the way And I m glad to say I ve enjoyed every day Of the full catastrophe of life,The Full Catastrophe,metal,2002
37801,The Country Dance Kings,Remember when I was young and so were you And time stood still and love was all we knew You were the first  so was I We made love and then you cried Remember when Remember when we vowed the vows and walked the walk Gave our hearts  made the start  it was hard We lived and learned  life threw curves There was joy  there was hurt Remember when Remember when old ones died and new were born And life was changed  disassembled  rearranged We came together  fell apart And broke each other s hearts Remember when Remember when the sound of little feet Was the music we danced to week to week Brought back the love  we found trust Vowed we d never give it up Remember when Remember when thirty seemed so old Now lookin  back  it s just a steppin  stone To where we are  where we ve been Said we d do it all again Remember when Remember when we said when we turned gray When the children grow up and move away We won t be sad  we ll be glad For all the life we ve had And we ll remember when Remember when Remember when,Remember When,metal,2009
